Celsius,Desconocida,Error
0,33.41209262153977,1.5896364504223426
1,41.31437827945007,2.2530112709609766
2,41.099592126414876,0.72418384965797
3,34.31978047447999,3.588991177144164
4,41.957447045347074,0.24723683722653356
5,40.60946482927626,8.48089182354179
6,36.91777261921172,1.0097641591188897
7,51.2353999730443,0.7350337555600737
8,39.138429460873766,1.5721749555791034
9,53.569374464837445,0.7756359260005827
10,40.9365608713523,3.1592535912278317
11,45.9484709230848,0.9979120444960958
12,48.51319221213848,1.3593369507158222
13,49.24934788993776,0.6633901875412631
14,62.4467720611062,1.2958534973160465
15,55.6445331727676,3.809013639393834
16,64.60807578968875,0.1716197417970789
17,68.2888393108049,2.30884009825074
18,58.734381157772106,3.3371494279408562
19,65.29107496813656,0.45838172268305005
20,63.446234384005,6.021000056266903
21,74.22444311912207,0.70173089799741
22,70.46963323123666,2.223173231458728
23,71.24743958327954,0.8126806850494659
24,74.07339685851402,4.364450200797327
25,69.77702113568596,2.1170764804217037
26,79.24837859559452,1.172766148949218
27,87.27869192974796,6.575727675800983
28,76.80055301343549,1.577955142492602
29,92.76701521570637,0.6395709690126625
30,76.81001392967711,2.2284120911598158
31,79.38941463887465,3.366496560968419
32,83.42612254431631,0.5268158333843488
33,96.94596912948434,2.0936371997813668
34,101.48601940273508,2.0008213702667286
35,92.79211749846326,2.29891610017936
36,88.18142210317738,2.7364363023870455
37,95.29430947544087,3.7476914969856403
38,91.08871232720873,1.5710921597852257
39,109.97759234997896,0.8609223502939424
