Celsius,Fahrenheit
0,33.41209262153977
1,41.31437827945007
2,41.099592126414876
3,34.31978047447999
4,41.957447045347074
5,40.60946482927626
6,36.91777261921172
7,51.2353999730443
8,39.138429460873766
9,53.569374464837445
10,40.9365608713523
11,45.9484709230848
12,48.51319221213848
13,49.24934788993776
14,62.4467720611062
15,55.6445331727676
16,64.60807578968875
17,68.2888393108049
18,58.734381157772106
19,65.29107496813656
20,63.446234384005
21,74.22444311912207
22,70.46963323123666
23,71.24743958327954
24,74.07339685851402
25,69.77702113568596
26,79.24837859559452
27,87.27869192974796
28,76.80055301343549
29,92.76701521570637
30,76.81001392967711
31,79.38941463887465
32,83.42612254431631
33,96.94596912948434
34,101.48601940273508
35,92.79211749846326
36,88.18142210317738
37,95.29430947544087
38,91.08871232720873
39,109.97759234997896
